Gene_ID,OoCyte_1,OoCyte_2,OoCyte_3,Zygote_1,Zygote_2,Zygote_3,2_Cell_embryo_1_Cell_1,2_Cell_embryo_1_Cell_2,2_Cell_embryo_2_Cell_1,2_Cell_embryo_2_Cell_2,2_Cell_embryo_3_Cell_1,2_Cell_embryo_3_Cell_2,4_Cell_embryo_1_Cell_1,4_Cell_embryo_1_Cell_2,4_Cell_embryo_1_Cell_3,4_Cell_embryo_1_Cell_4,4_Cell_embryo_2_Cell_1,4_Cell_embryo_2_Cell_2,4_Cell_embryo_2_Cell_3,4_Cell_embryo_2_Cell_4,4_Cell_embryo_3_Cell_1,4_Cell_embryo_3_Cell_2,4_Cell_embryo_3_Cell_3,4_Cell_embryo_3_Cell_4,8_Cell_embryo_1_Cell_1,8_Cell_embryo_1_Cell_2,8_Cell_embryo_1_Cell_3,8_Cell_embryo_1_Cell_4,8_Cell_embryo_2_Cell_1,8_Cell_embryo_2_Cell_2,8_Cell_embryo_2_Cell_3,8_Cell_embryo_2_Cell_4,8_Cell_embryo_2_Cell_5,8_Cell_embryo_2_Cell_6,8_Cell_embryo_2_Cell_7,8_Cell_embryo_2_Cell_8,8_Cell_embryo_3_Cell_1,8_Cell_embryo_3_Cell_2,8_Cell_embryo_3_Cell_3,8_Cell_embryo_3_Cell_4,8_Cell_embryo_3_Cell_5,8_Cell_embryo_3_Cell_6,8_Cell_embryo_3_Cell_7,8_Cell_embryo_3_Cell_8,Morulae_1_Cell_1,Morulae_1_Cell_2,Morulae_1_Cell_3,Morulae_1_Cell_4,Morulae_1_Cell_5,Morulae_1_Cell_6,Morulae_1_Cell_7,Morulae_1_Cell_8,Morulae_2_Cell_1,Morulae_2_Cell_2,Morulae_2_Cell_3,Morulae_2_Cell_4,Morulae_2_Cell_5,Morulae_2_Cell_6,Morulae_2_Cell_7,Morulae_2_Cell_8,Late_blastoCyst_1_Cell_1,Late_blastoCyst_1_Cell_2,Late_blastoCyst_1_Cell_3,Late_blastoCyst_1_Cell_4,Late_blastoCyst_1_Cell_5,Late_blastoCyst_1_Cell_6,Late_blastoCyst_1_Cell_7,Late_blastoCyst_1_Cell_8,Late_blastoCyst_1_Cell_9,Late_blastoCyst_1_Cell_10,Late_blastoCyst_1_Cell_11,Late_blastoCyst_1_Cell_12,Late_blastoCyst_2_Cell_1,Late_blastoCyst_2_Cell_2,Late_blastoCyst_2_Cell_3,Late_blastoCyst_2_Cell_4,Late_blastoCyst_2_Cell_5,Late_blastoCyst_2_Cell_6,Late_blastoCyst_2_Cell_7,Late_blastoCyst_2_Cell_8,Late_blastoCyst_2_Cell_9,Late_blastoCyst_2_Cell_10,Late_blastoCyst_3_Cell_1,Late_blastoCyst_3_Cell_2,Late_blastoCyst_3_Cell_3,Late_blastoCyst_3_Cell_4,Late_blastoCyst_3_Cell_5,Late_blastoCyst_3_Cell_6,Late_blastoCyst_3_Cell_7,Late_blastoCyst_3_Cell_8
C9orf152,0,0,0,0,0,0,0,0.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS11,1219.861,1021.069,931.62,875.431,892.406,782.993,1406.73,1382.027,1178.472,1528.765,1719.19,1830.305,3131.987,3239.758,2543.349,3039.817,5598.244,4409.591,5142.446,4382.877,4255.503,3428.272,3903.747,4576.967,4503.266,4537.128,5530.148,5305.792,1642.055,3130.751,3287.701,2311.277,2296.468,2285.538,2490.002,2218.046,7512.853,7321.061,5750.858,5286.509,4792.709,6127.519,4835.123,4895.559,2949.686,1897.06,9225,4043.688,2529.049,2036.63,1205.503,1787.684,2419.837,3152.502,2593.503,2048.318,1720.888,2853.946,3361.308,2499.792,983.087,1372.568,3001.455,1659.324,1448.772,1161.307,942.015,1719.666,608.276,1191.841,1563.144,1294.219,1096.883,1328.081,1777.654,1305.229,1311.725,1625.161,1694.293,1743.369,1085.601,1238.21,3897.169,2816.477,1995.57,3772.74,2297.895,2890.109,2385.076,2532.889
ELMO2,6.964,12.195,9.299,52.147,70.725,58.647,48.579,47.656,64.419,56.065,57.611,59.967,60.723,53.924,66.773,75.169,45.842,73.215,56.44,59.099,65.07,78.712,89.62,79.235,26.69,56.498,25.608,24.492,7.994,23.083,17.921,6.075,1.985,3.936,8.624,5.698,10.433,4.148,3.675,10.371,8.886,2.488,4.854,2.733,5.909,3.49,0.286,2.895,0.988,6.797,9.879,0,7.374,0.541,3.45,15.415,11.6,4.27,4.745,3.546,0.108,0.567,0.904,0.486,0,0,8.844,0,0.109,12.817,1.784,1.589,4.571,0,0.109,0,0,10.801,0,0,0,2.639,10.554,0,0,0,0.106,0,0,1.467
CREB3L1,1,1.424,1.946,1.805,1.435,0.731,1.591,1.264,1.885,1.449,0.703,0.494,0,4.724,0,0,0.257,0.745,1.567,2.778,3.058,2.522,4.284,5.014,0.466,2.809,1.927,2.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.764,0,0,0,0.746,0,0,0,0,0,0,0,0,0,0.379,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705,5.464,1.957,0,0,0,0,0,0,0,0,0,0,0,15.006,0,0,14.989
PNMA1,0.679,1.343,2.125,5.724,4.89,5.648,4.311,4.06,4.363,4.7,2.858,2.397,4.08,0.16,1.204,0,3.131,0,10.804,0.395,4.67,5.768,4.523,5.634,33.236,36.771,17.328,43.886,16.155,5.953,7.807,36.811,17.895,9.479,9.736,19.618,25.838,32.918,56.947,45.135,36.909,10.892,19.138,58.652,52.454,30.284,0.897,24.632,20.16,61.035,44.67,0.443,20.21,61.588,51.561,31.352,21.991,22.418,45.984,62.886,1.368,10.472,31.565,13.287,73.577,26.946,9.663,4.093,0,21.603,6.605,10.248,9.103,19.435,24.553,0.686,0.798,16.67,0.429,14.525,4.379,8.858,7.945,3.971,10.026,11.264,31.11,0.14,0.394,6.839
MMP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0.378,0,0.877,4.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0,0,0,0.811,0,0,0,0,0,0,0,0,0,0.238,0,0,0,0,0,0,0.741,0,0,0,0,0,0,0,103.891,2.681,0.103,0,0,0.15,0,0
TMEM216,8.869,12.539,13.851,3.372,1.403,2.003,4.604,4.35,1.996,1.774,3.539,3.135,0.576,0,0.803,0.721,10.492,0.971,6.248,9.823,15.584,19.701,12.914,2.003,1.795,8.057,3.183,0.161,0.114,0.124,0,0,0,3.377,0.209,0.339,4.15,1.181,5.88,0,1.962,0.108,0,0,6.602,0,0,0,0.242,0,0,0,0,0.152,0,0,0,1.002,0,0,0,0,0,0,6.55,0,0,0,0.948,0,19.23,0.828,0,0,0,0,0,4.409,0.596,0,0,3.189,0,4.96,28.536,0.113,0,0,0,0
LOC653712,0.125,0.498,0.383,0.553,0.506,0,0.824,0.884,0.774,0.623,0,0.398,2.998,0,0,3.179,0.402,0.153,0,0.196,0.328,0.438,0.235,0.39,0,0.192,1.775,0.191,0.27,1.322,0.584,0,0.145,0.188,0.909,0,0.826,0,0.97,0,0.436,0,0,0,1.663,0,0.716,1.396,0.143,0,0.347,0.212,0,0,0,0,1.197,0.162,0.386,0,0,0.158,0.364,0,0,0,0,0,0,2.435,0,0,0.897,3.254,1.365,0,0,0,0,0,0,0,3.705,1.167,0.492,0,1.012,0,0,5.074
C10orf90,1.451,1.511,2.904,1.234,0.674,0.792,0.887,1.822,1.434,1.159,1.021,1.154,0,0,0,4.339,0,0,1.501,0,1.228,5.255,1.486,3.45,0,0,0.716,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.371,0,0,0,0,0,0,0,0,0,0,2.894,0,0,0,0
ZHX3,15.937,20.835,23.162,30.117,33.387,37.073,23.999,25.435,34.204,36.256,28.403,29.584,59.009,50.131,51.341,55.017,36.718,38.452,32.856,31.992,44.25,47.796,49.409,42.837,10.458,16.198,8.371,20.604,0.41,2.248,0.183,0.783,0.153,1.865,1.388,0.692,2.082,1.237,1.437,3.843,2.95,4.715,1.41,7.825,0.735,1.345,34.529,1.073,0.111,0,0.447,12.102,0.634,0.493,0.426,0.179,0,0.215,1.16,1.329,0.101,1.507,2.504,2.441,0.18,1.864,0,0,0.146,0,0.535,0,0.922,0.36,3.811,0.448,0,0,0,0.166,0,0,0.409,0.167,0,0,0,0.597,0,0
